Ranking,Team,Country,Points Scored,1 year change,previous point scored,symbol change,,,,
2619,Estudiantes de Caracas,Venezuela,1206,13,1206,-,,,,
87,Estudiantes de la Plata,Argentina,1638,153,1522,+,,,,
1541,Estudiantes de MÃ©rida,Venezuela,1292,155,1281,+,,,,
1324,Estudiantes Tecos,Mexico,1311,3,1311,-,,,,
1320,Etar,Bulgaria,1312,6,1312,-,,,,
1573,Ethnikos Achnas,Cyprus,1290,242,1311,-,,,,
2171,Etoile du Kivu,Congo DR,1247,65,1250,-,,,,
285,Etoile du Sahel,Tunisia,1503,76,1538,-,,,,
1238,Etoile Metlaoui,Tunisia,1321,21,1323,-,,,,
1406,Eupen,Belgium,1303,519,1360,-,,,,
578,Everton CD,Chile,1418,141,1386,+,,,,
135,Everton FC,England,1587,67,1660,-,,,,
481,Evian TG,France,1439,1,1439,-,,,,
853,Excelsior,Netherlands,1366,11,1366,-,,,,
1838,F91 Dudelange,Luxembourg,1268,8,1268,-,,,,
2047,FA Å iauliai,Lithuania,1254,60,1250,+,,,,
2697,Fajardo,Puerto Rico,1187,8,1187,-,,,,
1758,Fajr Sepasi,Iran,1274,543,1323,-,,,,
2609,Falkenbergs FF,Sweden,1206,16,1206,-,,,,
1695,Falkirk,Scotland,1280,5,1280,-,,,,
546,FAR Rabat,Morocco,1425,62,1410,+,,,,
936,Farul ConstanÈ›a,Romania,1355,505,1300,+,,,,
486,Fatih KaragÃ¼mrÃ¼k,Turkey,1437,53,1424,+,,,,
1370,Fauve Azur Elite FC,Cameroon,1306,71,1300,+,,,,
2483,FB Gulbene,Latvia,1222,31,1222,-,,,,
245,FBC Melgar,Peru,1522,357,1411,+,,,,
2443,FC Academia Chisinau,Moldova,1225,25,1225,-,,,,
2138,FC Alashkert,Armenia,1249,32,1250,-,,,,
1514,FC Anzhi Makhachkala,Russia,1294,28,1294,-,,,,
858,FC Arda Kardzhali,Bulgaria,1366,134,1385,-,,,,
1795,FC Arsenal Dzerzhinsk,Belarus,1271,354,1300,-,,,,
1162,FC Arsenal Kiev,Ukraine,1328,4,1328,-,,,,
1124,FC Ashdod,Israel,1333,318,1371,-,,,,
172,FC Basel,Switzerland,1563,21,1569,-,,,,
1079,FC Bravos DO Maquis,Angola,1339,46,1332,+,,,,
632,FC Brest,Belarus,1404,347,1503,-,,,,
1627,FC Carlos Stein,Peru,1286,286,1309,-,,,,
1227,FC Chindia TÃ¢rgoviÅŸte,Romania,1323,87,1331,-,,,,
2624,FC Cincinnati,United States,1204,20,1202,+,,,,
2763,FC Codru Lozova,Moldova,1138,1,1138,-,,,,
812,FC CSKA 1948 Sofia,Bulgaria,1373,410,1323,+,,,,
759,FC Dallas,United States,1382,55,1369,+,,,,
1421,FC Daugava,Latvia,1302,1,1302,-,,,,
652,FC Dinamo Batumi,Georgia,1400,333,1349,+,,,,
1685,FC Dnyapro Mogilev,Belarus,1281,142,1294,-,,,,
1517,FC Dordrecht,Netherlands,1294,32,1294,-,,,,
1706,FC DunÄƒrea CÄƒlÄƒraÅŸi,Romania,1279,4,1279,-,,,,
2354,FC Edmonton,Canada,1233,41,1233,-,,,,
674,FC Emmen,Netherlands,1397,8,1397,-,,,,
962,FC Energetik-BGU Minsk,Belarus,1352,393,1307,+,,,,
379,FC FamalicÃ£o,Portugal,1469,11,1469,-,,,,
1278,FC Fastav Zlin,Czech Republic,1316,153,1301,+,,,,
2739,FC FloreÅŸti,Moldova,1168,295,1228,-,,,,
2232,FC Gagra,Georgia,1243,126,1250,-,,,,
2090,FC Goa,India,1251,1,1251,-,,,,
587,FC Groningen,Netherlands,1416,241,1478,-,,,,
2677,FC Guria Lanchkhuti,Georgia,1192,9,1192,-,,,,
2350,FC HelsingÃ¸r,Denmark,1234,40,1234,-,,,,
351,FC Infonet Tallinn,Estonia,1476,2,1476,-,,,,
507,FC Inter Turku (FIN),Finland,1433,69,1450,-,,,,
1134,FC JuÃ¡rez,Mexico,1331,371,1377,-,,,,
2758,FC Jurmala,Latvia,1149,3,1149,-,,,,
1889,FC Kapaz,Azerbaijan,1264,2,1264,-,,,,
2757,FC Kolkheti-1913 Poti,Georgia,1152,0,1152,-,,,,
606,FC Kolos Kovalivka,Ukraine,1408,135,1441,-,,,,
201,FC Krasnodar,Russia,1541,59,1515,+,,,,
2540,FC KTP,Finland,1217,860,1282,-,,,,
2652,FC Kuressaare,Estonia,1198,107,1150,+,,,,
885,FC Lahti,Finland,1362,167,1386,-,,,,
2149,FC Lubumbashi sport,Congo DR,1248,155,1257,-,,,,
1802,FC Luch Minsk,Belarus,1270,9,1270,-,,,,
1441,FC Lviv,Ukraine,1300,44,1299,+,,,,
2381,FC Ma'an,Jordan,1231,156,1246,-,,,,
2199,FC Maktaaral,Kazakhstan,1245,93,1250,-,,,,
2348,FC Masr,Egypt,1234,39,1234,-,,,,
2512,FC Merani Tbilisi,Georgia,1220,29,1220,-,,,,
148,FC Midtjylland,Denmark,1578,32,1552,+,,,,
388,FC Milsami Orhei,Moldova,1466,14,1467,-,,,,
1896,FC Minaj,Ukraine,1264,381,1296,-,,,,
1190,FC Minsk,Belarus,1326,27,1328,-,,,,
2205,FC MK,Congo DR,1244,39,1244,-,,,,
920,FC Nizhny Novgorod,Russia,1357,41,1350,+,,,,
709,FC Orenburg,Russia,1390,12,1390,-,,,,
2187,FC Pasching,Austria,1246,44,1246,-,,,,
695,FC Platinum,Zimbabwe,1393,61,1379,+,,,,
13,FC Porto,Portugal,1841,3,1835,+,,,,
2376,FC Pune City,India,1232,37,1232,-,,,,
1794,FC Rapid Ghidighici,Moldova,1271,10,1271,-,,,,
2247,FC Renaissance du Congo,Denmark,1242,53,1248,-,,,,
584,FC Ruh Brest,Belarus,1416,198,1374,+,,,,
2628,FC Rustavi,Georgia,1203,11,1203,-,,,,
1755,FC Samgurali Tskhaltubo,Georgia,1274,229,1258,+,,,,
2544,FC Samtredia,Georgia,1216,297,1244,-,,,,
2589,FC Saxan,Moldova,1209,19,1209,-,,,,
664,FC Seoul,South Korea,1398,196,1364,+,,,,
60,FC Sheriff,Moldova,1683,13,1649,+,,,,
2708,FC Shukura Kobuleti,Georgia,1181,7,1188,-,,,,
2235,FC Simba,Denmark,1243,159,1252,-,,,,
2591,FC Sioni Bolnisi,Georgia,1209,12,1211,-,,,,
925,FC Skonto Riga,Latvia,1357,11,1357,-,,,,
2576,FC Smorgon,Belarus,1212,10,1216,-,,,,
2270,FC Spicul ChiÈ™cÄƒreni,Moldova,1241,37,1241,-,,,,
489,FC St. Gallen 1879,Switzerland,1436,98,1414,+,,,,
1362,FC Struga Trim-Lum,Nigeria,1307,26,1310,-,,,,
2572,FC Stumbras,Lithuania,1212,24,1212,-,,,,
1957,FC Telavi,Georgia,1260,370,1239,+,,,,
491,FC Tokyo,Japan,1436,13,1432,+,,,,
2753,FC Torpedo Minsk,Belarus,1156,1,1156,-,,,,
825,FC Torpedo Moscow,Russia,1370,14,1370,-,,,,
1359,FC Tsarsko Selo Sofia 2015,Bulgaria,1308,129,1322,-,,,,
1954,FC Tskhinvali,Georgia,1260,4,1260,-,,,,
150,FC Twente,Netherlands,1576,497,1402,+,,,,
1180,FC U Craiova 1948,Romania,1327,261,1300,+,,,,
721,FC Ufa,Russia,1389,87,1405,-,,,,
543,FC Ural,Russia,1425,1,1423,+,,,,
282,FC Utrecht,Netherlands,1504,127,1566,-,,,,
1567,FC Vaduz,Switzerland,1290,23,1290,-,,,,
423,FC Vaslui,Romania,1456,10,1456,-,,,,
857,FC Veris,Moldova,1366,12,1366,-,,,,
756,FC Vizela,Portugal,1382,103,1400,-,,,,
973,FC Voluntari,Romania,1351,423,1303,+,,,,
1932,FC Wacker Innsbruck,Austria,1261,4,1261,-,,,,
1365,FC Zbrojovka Brno,Czech Republic,1307,5,1307,-,,,,
2746,FC Zugdidi,Georgia,1164,2,1164,-,,,,
64,FCI Levadia Tallinn,Estonia,1669,6,1654,+,,,,
1515,Feirense,Portugal,1294,30,1294,-,,,,
113,FenerbahÃ§e,Turkey,1608,35,1571,+,,,,
628,FÃ©nix,Uruguay,1405,32,1412,-,,,,
174,FerencvÃ¡ros,Hungary,1562,48,1590,-,,,,
1778,FerroviÃ¡rio da Beira,Mozambique,1272,4,1272,-,,,,
2339,FerroviÃ¡rio Do Huambo,Angola,1235,100,1245,-,,,,
947,Feutcheu FC,Cameroon,1354,116,1367,-,,,,
49,Feyenoord,Netherlands,1697,53,1612,+,,,,
1655,FF Jaro,Finland,1284,14,1284,-,,,,
2257,FH Hafnarfjordur,Iceland,1241,39,1241,-,,,,
503,Figueirense,Brazil,1434,8,1434,-,,,,
1917,Finn Harps,Ireland,1262,71,1267,-,,,,
94,Fiorentina,Italy,1630,14,1606,+,,,,
1115,FK AGMK,Uzbekistan,1334,222,1310,+,,,,
400,FK Akhmat Grozny,Russia,1463,20,1454,+,,,,
2044,FK Aksu,Kazakhstan,1254,63,1250,+,,,,
2058,FK Arys,Kazakhstan,1253,142,1248,+,,,,
2281,FK Atlantas,Lithuania,1240,38,1240,-,,,,
2100,FK Auda,Latvia,1250,7,1250,-,,,,
2752,FK BaÄka Palanka,Serbia,1158,0,1158,-,,,,
2673,FK Belasica Strumica,Macedonia,1193,10,1193,-,,,,
2021,FK Bokelj,Montenegro,1255,1,1255,-,,,,
2401,FK Borec Veles,Nigeria,1230,715,1281,-,,,,
2332,FK Bregalnica Stip,Macedonia,1235,180,1222,+,,,,
446,FK Desna Chernihiv,Ukraine,1449,79,1469,-,,,,
1904,FK Donji Srem,Serbia,1263,6,1263,-,,,,
2643,FK Drina Zvornik,Bosnia and Herzegovina,1200,12,1200,-,,,,
2242,FK Gorno Lisice,Macedonia,1242,39,1242,-,,,,
1214,FK Gorodeya,Belarus,1324,9,1324,-,,,,
2702,FK Gostivar,Macedonia,1185,8,1185,-,,,,
2549,FK Guliston,Uzbekistan,1216,21,1216,-,,,,
1077,FK Haugesund,Norway,1339,291,1374,-,,,,
1994,FK Horizont Turnovo,Macedonia,1257,4,1257,-,,,,
2494,FK InÄ‘ija,Serbia,1221,29,1221,-,,,,
1170,FK Inhulets' Petrove,Ukraine,1328,249,1356,-,,,,
1289,FK Iskra,Montenegro,1315,28,1318,-,,,,
1728,FK Istiqlol Dushanbe,Tajikistan,1277,102,1288,-,,,,
2620,FK Jelgava,Latvia,1205,13,1205,-,,,,
1739,FK Jerv,Norway,1276,298,1300,-,,,,
1881,FK Jezero Plav,Montenegro,1265,94,1259,+,,,,
1777,FK Kaspiy Aktau,Kazakhstan,1272,219,1257,+,,,,
1424,FK Kauno Zalgiris,Lithuania,1301,48,1305,-,,,,
1435,FK Kolubara,Serbia,1301,6,1300,+,,,,
2147,FK Kom Podgorica,Montenegro,1248,41,1248,-,,,,
1944,FK Krupa,Bosnia and Herzegovina,1260,2,1260,-,,,,
2699,FK Leotar,Bosnia and Herzegovina,1186,28,1177,+,,,,
989,FK LiepÄjas Metalurgs,Latvia,1349,261,1319,+,,,,
1364,FK Mariupol Illichivets',Ukraine,1307,547,1369,-,,,,
1977,FK Metalac,Serbia,1258,365,1288,-,,,,
2627,Fk Metalurg Skopje,Macedonia,1203,11,1203,-,,,,
2769,FK Metta,Latvia,1090,0,1099,-,,,,
2238,FK Mladost Doboj Kakanj,Bosnia and Herzegovina,1242,37,1242,-,,,,
1003,FK Mladost LuÄani,Serbia,1346,68,1353,-,,,,
2113,FK Olympic Tashkent,Uzbekistan,1250,6,1250,-,,,,
2653,FK Palanga,Lithuania,1198,11,1198,-,,,,
1473,FK PanevÄ—Å¾ys,Lithuania,1298,497,1259,+,,,,
784,FK Pardubice,Czech Republic,1377,175,1410,-,,,,
2427,FK Podgorica,Montenegro,1227,171,1244,-,,,,
2435,FK Pohronie,Slovakia,1226,857,1291,-,,,,
1720,FK Proleter Novi Sad,Serbia,1277,487,1321,-,,,,
912,FK Radnik Surdulica,Serbia,1358,236,1330,+,,,,
26,FK Red Star Belgrade,Serbia,1767,9,1731,+,,,,
924,FK Riteriai,Lithuania,1357,13,1353,+,,,,
477,FK Rostov,Russia,1440,126,1476,-,,,,
1243,FK Rotor Volgograd,Russia,1320,1,1320,-,,,,
454,FK Sarajevo,Bosnia and Herzegovina,1447,119,1483,-,,,,
2389,FK Senica,Slovakia,1230,193,1248,-,,,,
1287,FK Septemvri Sofia,Bulgaria,1315,6,1315,-,,,,
2107,FK Å ilas,Lithuania,1250,0,1250,-,,,,
1922,FK Sileks,Macedonia,1262,6,1262,-,,,,
2423,FK Skopje,Macedonia,1227,77,1238,-,,,,
1433,FK Slutsk,Belarus,1301,427,1266,+,,,,
1228,FK Spartak Subotica,Serbia,1323,212,1345,-,,,,
2347,FK Spartaks,Latvia,1234,447,1263,-,,,,
2714,FK Sputnik Rechytsa,Belarus,1180,739,1258,-,,,,
1713,FK Tambov,Russia,1278,4,1278,-,,,,
2725,FK Tauras Taurage,Lithuania,1174,6,1174,-,,,,
2692,FK Teteks,Macedonia,1189,7,1189,-,,,,
1280,FK Tosno,Russia,1316,4,1316,-,,,,
2713,FK Tukums 2000,Latvia,1180,46,1197,-,,,,
2405,FK Turan,Uzbekistan,1229,66,1238,-,,,,
1078,FK Tuzla City,Bosnia and Herzegovina,1339,220,1315,+,,,,
2570,FK Utenis Utena,Lithuania,1213,23,1213,-,,,,
1268,FK Vitebsk,Belarus,1318,395,1362,-,,,,
1846,FK Zemun,Serbia,1267,8,1267,-,,,,
869,FK Zirka Kirovohrad,Ukraine,1364,145,1345,+,,,,
2292,FK Zlatibor ÄŒajetina,Serbia,1238,44,1238,-,,,,
2000,FK Zvijezda 09,Bosnia and Herzegovina,1257,3,1257,-,,,,
1621,FKS Stal Mielec,Poland,1287,26,1290,-,,,,
2191,Flame Lilly,Zimbabwe,1245,44,1245,-,,,,
40,Flamengo,Brazil,1721,16,1763,-,,,,
1959,Flint Town United,Wales,1260,266,1246,+,,,,
38,Flora Tallinn,Estonia,1722,7,1715,+,,,,
106,Fluminense FC,Brazil,1613,48,1689,-,,,,
437,Foolad Khuzestan,Iran,1451,179,1408,+,,,,
2302,Forest Rangers,Zambia,1237,120,1231,+,,,,
2225,Forge FC,Canada,1243,118,1250,-,,,,
216,Fortaleza,Colombia,1535,41,1517,+,,,,
203,Fortuna DÃ¼sseldorf,Germany,1541,2,1541,-,,,,
750,Fortuna Sittard,Netherlands,1383,135,1408,-,,,,
854,Fovu de Baham,Cameroon,1366,24,1367,-,,,,
2756,FOX Villa FC,Nicaragua,1153,0,1153,-,,,,
1511,Fredrikstad,Norway,1295,25,1295,-,,,,
1571,Free State Stars,South Africa,1290,22,1290,-,,,,
53,Freiburg,Germany,1688,34,1628,+,,,,
631,Frosinone,Italy,1404,8,1404,-,,,,
2634,Fuerza Amarilla SC,Ecuador,1202,11,1202,-,,,,
416,Fulham,England,1457,8,1457,-,,,,
692,FUS Rabat,Morocco,1393,89,1411,-,,,,
896,Future FC,Egypt,1360,545,1300,+,,,,
1987,GabÃ¨s,Tunisia,1258,6,1258,-,,,,
2019,Gaborone United,Botswana,1255,1,1255,-,,,,
2577,Gagauziya,Moldova,1212,21,1212,-,,,,
2276,Gahar Zagros,Iran,1240,38,1240,-,,,,
1710,GAIS,Sweden,1278,4,1278,-,,,,
2006,Gaitcha FCN,New Caledonia,1256,3,1256,-,,,,
242,Galatasaray,Turkey,1524,135,1606,-,,,,
1930,Galway United FC,Ireland,1262,6,1262,-,,,,
686,Gamba Osaka,Japan,1394,116,1419,-,,,,
926,Gangwon FC,South Korea,1357,61,1363,-,,,,
1675,Gateway FC,Nigeria,1282,11,1282,-,,,,
2129,Gaz Metan MediaÅŸ,Romania,1249,1271,1364,-,,,,
1558,Gaziantepspor,Turkey,1291,27,1291,-,,,,
623,GaziÅŸehir Gaziantep FK,Turkey,1406,124,1433,-,,,,
2250,GD Baixa de Kassanje,Angola,1242,119,1235,+,,,,
1422,Gefle,Sweden,1302,1,1302,-,,,,
1260,GenÃ§lerbirligi,Turkey,1318,5,1318,-,,,,
1154,General Caballero,Paraguay,1330,5,1330,-,,,,
1148,General Caballero JLM,Paraguay,1330,187,1350,-,,,,
1860,General DÃ­az,Paraguay,1267,16,1267,-,,,,
266,Genoa,Italy,1512,144,1593,-,,,,
169,Gent,Belgium,1565,83,1519,+,,,,
2314,Germinal Beerschot,Belgium,1237,1199,1333,-,,,,
109,Getafe,Spain,1611,15,1591,+,,,,
482,GFC Ajaccio,France,1438,2,1438,-,,,,
2258,GFK Tikvesh,Nigeria,1241,152,1250,-,,,,
2008,Ghazl El Mehalla,Egypt,1256,321,1239,+,,,,
1725,GIF Sundsvall,Sweden,1277,234,1299,-,,,,
2074,Gigira Laitepo,Papua New Guinea,1252,1,1252,-,,,,
332,Gil Vicente FC,Portugal,1485,229,1419,+,,,,
650,Gimcheon Sangmu FC,South Korea,1401,11,1398,+,,,,
202,Gimnasia y Esgrima La Plata,Argentina,1541,125,1486,+,,,,
807,Giresunspor,Turkey,1373,154,1350,+,,,,
200,Girona,Spain,1542,4,1542,-,,,,
1000,Giwa FC,Nigeria,1347,3,1347,-,,,,
1550,Glenavon,Northern Ireland,1291,110,1300,-,,,,
1031,Glentoran,Northern Ireland,1342,208,1321,+,,,,
2359,Gloria Bistrita,Romania,1233,39,1233,-,,,,
1218,Go Ahead Eagles,Netherlands,1324,730,1260,+,,,,
1496,Go Round,Nigeria,1296,18,1296,-,,,,
308,Godoy Cruz Antonio Tomba,Argentina,1493,167,1440,+,,,,
269,GoiÃ¡s,Brazil,1512,83,1475,+,,,,
1369,Gokulam Kerala Fc,India,1306,425,1270,+,,,,
522,GOL Gohar Sirjan FC,Iran,1430,497,1345,+,,,,
965,Gold Coast United,Australia,1352,17,1352,-,,,,
1131,Gombe United,Nigeria,1331,169,1315,+,,,,
751,Gomel,Belarus,1383,487,1321,+,,,,
1569,Gorica,Slovenia,1290,23,1290,-,,,,
2053,Gornik Leczna,Poland,1253,407,1286,-,,,,
877,Gornik Zabrze,Poland,1363,7,1360,+,,,,
2478,GOÅ K Gabela,Bosnia and Herzegovina,1223,29,1223,-,,,,
930,Gostaresh Foolad,Iran,1356,11,1356,-,,,,
1704,GÃ¶ztepe AÅž,Turkey,1279,995,1388,-,,,,
2658,Gradina Srebrenik,Bosnia and Herzegovina,1196,14,1196,-,,,,
2178,Gran Valencia FC,Venezuela,1246,51,1246,-,,,,
189,Granada,Spain,1551,51,1577,-,,,,
1708,Granit,Belarus,1279,4,1279,-,,,,
1832,Granit Mikashevichi,Belarus,1268,12,1268,-,,,,
1112,Grasshopper Club ZÃ¼rich,Switzerland,1335,309,1302,+,,,,
1737,Grbalj Radanovici,Montenegro,1276,2,1276,-,,,,
1635,Green Buffaloes,Zambia,1286,107,1295,-,,,,
1677,Green Eagles,Zambia,1282,419,1251,+,,,,
124,GrÃªmio,Brazil,1599,60,1667,-,,,,
696,GrÃªmio Prudente,Brazil,1393,14,1393,-,,,,
662,Grenoble,France,1399,5,1399,-,,,,
2751,Gresik United FC,Indonesia,1159,0,1159,-,,,,
676,Greuther FÃ¼rth,Germany,1396,87,1414,-,,,,
1281,GrÃ¶dig,Austria,1316,5,1316,-,,,,
1893,Grombalia Sports,Tunisia,1264,3,1264,-,,,,
1254,GuabirÃ¡,Bolivia,1319,320,1292,+,,,,
246,Guadalajara,Mexico,1522,21,1513,+,,,,
1347,Guadalupe FC,Costa Rica,1308,129,1323,-,,,,
524,GuaireÃ±a FC,Paraguay,1430,9,1430,-,,,,
915,Gualaceo SC,Ecuador,1358,46,1350,+,,,,
1471,Guangzhou City F.C.,China PR,1298,37,1297,+,,,,
646,Guangzhou F.C.,China PR,1401,479,1557,-,,,,
210,GuaranÃ­,Paraguay,1538,33,1521,+,,,,
554,Guarani FC,Brazil,1422,7,1422,-,,,,
608,Guastatoya,Guatemala,1408,88,1430,-,,,,
2646,Guaynabo Fluminense,Puerto Rico,1199,12,1199,-,,,,
588,Guingamp,France,1415,8,1415,-,,,,
1718,Guizhou Hengfeng,China PR,1278,4,1278,-,,,,
598,Gunners,Zimbabwe,1411,2,1411,-,,,,
1188,Gwangju FC,South Korea,1326,162,1308,+,,,,
758,Gyeongnam FC,South Korea,1382,17,1382,-,,,,
1753,GyirmÃ³t SE,Hungary,1274,136,1264,+,,,,
424,GyÃ¶ri ETO,Hungary,1455,10,1455,-,,,,
2202,H&H Export SÃ©baco FC,Nicaragua,1245,96,1250,-,,,,
2177,Ha Noi TT,Vietnam,1246,42,1246,-,,,,
1221,Hajduk Kula,Serbia,1323,9,1323,-,,,,
204,Hajduk Split,Croatia,1541,114,1491,+,,,,
2695,Hajer FC Al-Hasa,Saudi Arabia,1188,8,1188,-,,,,
1445,Haka,Finland,1300,404,1266,+,,,,
1681,Halcones FC,Guatemala,1281,7,1281,-,,,,
1632,Halmstads BK,Sweden,1286,260,1264,+,,,,
1648,Hamam Sousse,Tunisia,1284,306,1260,+,,,,
1395,Hamarkameratene,Norway,1303,46,1300,+,,,,
207,Hamburger SV,Germany,1539,2,1539,-,,,,
2335,Hamilton Academical,Scotland,1235,39,1235,-,,,,
2499,Hamilton Wanderers Afc,New Zealand,1221,29,1221,-,,,,
293,Hammarby IF,Sweden,1499,80,1467,+,,,,
527,Hannover 96,Germany,1429,4,1429,-,,,,
2535,Hapoel Ashkelon,Israel,1217,25,1217,-,,,,
292,Hapoel Be'er Sheva,Israel,1499,93,1463,+,,,,
1080,Hapoel Hadera,Israel,1339,186,1359,-,,,,
1285,Hapoel Haifa,Israel,1316,292,1347,-,,,,
2372,Hapoel Ironi Akko,Israel,1232,36,1232,-,,,,
1468,Hapoel Jerusalem,Israel,1298,27,1300,-,,,,
2081,Hapoel Kfar Saba,Israel,1252,0,1252,-,,,,
1913,Hapoel Nof HaGalil,Israel,1263,471,1300,-,,,,
1821,Hapoel Petah Tikva FC,Israel,1269,11,1269,-,,,,
2369,Hapoel Ra'anana,Israel,1232,37,1232,-,,,,
2357,Hapoel Ramat Gan,Israel,1233,40,1233,-,,,,
1664,Hapoel Rishon LeZion,Israel,1283,11,1283,-,,,,
775,Hapoel Tel Aviv,Israel,1379,213,1348,+,,,,
1397,Harare City,Zimbabwe,1303,54,1309,-,,,,
1576,Haras El-Hodood SC,Egypt,1289,23,1289,-,,,,
1928,Harbin Yiteng,China PR,1262,7,1262,-,,,,
2164,Harbour View,Jamaica,1247,130,1241,+,,,,
2305,Hardbody,Zimbabwe,1237,45,1237,-,,,,
1981,Hasaacas,Ghana,1258,2,1258,-,,,,
2252,Haskovo 2009,Bulgaria,1242,39,1242,-,,,,
831,Hassania Agadir,Morocco,1370,89,1382,-,,,,
557,Hatayspor KulÃ¼bÃ¼,Turkey,1421,49,1432,-,,,,
2689,Hatta,United Arab Emirates,1189,7,1189,-,,,,
1317,Havadar S.C.,Iran,1312,124,1300,+,,,,
2241,Haverfordwest County,Wales,1242,302,1219,+,,,,
1683,Hawke's Bay United,New Zealand,1281,7,1281,-,,,,
2156,Hay Al Arab,Sudan,1248,42,1248,-,,,,
1837,Hay Al Wadi SC,Sudan,1268,8,1268,-,,,,
1083,HB Chelghoum LaÃ¯d,Algeria,1339,358,1300,+,,,,
2687,HB KÃ¸ge,Denmark,1189,7,1189,-,,,,
1192,Heart of Lions,Ghana,1326,10,1326,-,,,,
616,Heart of Midlothian,Scotland,1407,603,1323,+,,,,
1273,Heartland FC,Nigeria,1317,356,1357,-,,,,
843,Hearts of Oak,Ghana,1368,19,1369,-,,,,
1446,Hebei F.C.,China PR,1299,452,1347,-,,,,
1452,Hegelmann Litauen Kaunas,Lithuania,1299,612,1253,+,,,,
830,Hekari United,Papua New Guinea,1370,17,1370,-,,,,
88,Hellas Verona,Italy,1636,129,1533,+,,,,
1676,Helsingborgs IF,Sweden,1282,308,1306,-,,,,
1318,Henan Songshan Longmen F.C.,China PR,1312,428,1275,+,,,,
1847,Henderson Eels,Solomon Islands,1267,8,1267,-,,,,
712,Heracles,Netherlands,1390,286,1452,-,,,,
518,HÃ©rcules,Spain,1431,5,1431,-,,,,
1950,Herentals FC,Zimbabwe,1260,157,1250,+,,,,
1690,Herrera FC,Panama,1280,192,1264,+,,,,
271,Hertha BSC,Germany,1510,119,1569,-,,,,
797,Hibernian,Scotland,1375,341,1445,-,,,,
1689,HienghÃ¨ne Sport,New Caledonia,1281,6,1281,-,,,,
1326,HIFK,Finland,1311,235,1335,-,,,,
564,Highlanders,Zimbabwe,1420,33,1426,-,,,,
1174,Highlands Park,South Africa,1328,4,1328,-,,,,
2109,Highway,Zimbabwe,1250,51,1250,-,,,,
1126,Hilal Al-Obayed,Sudan,1333,6,1333,-,,,,
2307,Hilal El-Fasher,Sudan,1237,45,1237,-,,,,
2671,Hindustan Aero,India,1193,8,1193,-,,,,
2352,HirÃ©,Ivory Coast,1233,40,1233,-,,,,
1566,Hispano,Honduras,1290,23,1290,-,,,,
197,HJK Helsinki,Finland,1547,47,1570,-,,,,
670,HNK Gorica,Croatia,1397,135,1426,-,,,,
1925,Hoang Anh Gia Lai,Vietnam,1262,182,1250,+,,,,
1983,Hobro,Denmark,1258,3,1258,-,,,,
130,Hoffenheim,Germany,1594,59,1652,-,,,,
1641,HÃ¸nefoss,Norway,1285,16,1285,-,,,,
536,Honka,Finland,1427,19,1430,-,,,,
922,HonvÃ©d,Hungary,1357,37,1360,-,,,,
1209,Horoya AC,Guinea,1324,77,1332,-,,,,
1593,Houston Dynamo,United States,1288,284,1314,-,,,,
2448,Hoverla Uzhhorod,Ukraine,1225,26,1225,-,,,,
1835,How Mine,Zimbabwe,1268,10,1268,-,,,,
754,Hradec KrÃ¡lovÃ©,Czech Republic,1383,663,1302,+,,,,
2417,Hrvatski Dragovoljac,Croatia,1228,518,1263,-,,,,
2016,HÅ K PosuÅ¡je,Bosnia and Herzegovina,1255,91,1250,+,,,,
675,Huachipato,Chile,1396,63,1383,+,,,,
916,Huddersfield Town,England,1358,7,1358,-,,,,
373,Hull City,England,1470,9,1470,-,,,,
1743,Humble Lions,Jamaica,1275,145,1289,-,,,,
213,HuracÃ¡n,Argentina,1536,253,1442,+,,,,
864,Hwange,Zimbabwe,1365,12,1365,-,,,,
2084,Ibanda Sport,Congo DR,1251,2,1251,-,,,,
1321,Ifeanyi Ubah United,Nigeria,1312,11,1314,-,,,,
602,IFK GÃ¶teborg,Sweden,1410,40,1403,+,,,,
1559,IFK Mariehamn,Finland,1290,203,1307,-,,,,
370,IFK NorrkÃ¶ping,Sweden,1470,88,1504,-,,,,
1298,IFK VÃ¤rnamo,Sweden,1314,143,1300,+,,,,
1732,Ikorodu United,Nigeria,1276,1,1276,-,,,,
2705,Ilukstes NSS,Latvia,1183,9,1183,-,,,,
641,Ilves,Finland,1402,123,1430,-,,,,
976,Imbabura,Ecuador,1350,0,1350,-,,,,
760,Incheon United,South Korea,1382,363,1332,+,,,,
2679,Indeni FC,Zambia,1191,60,1208,-,,,,
111,Independiente,Ecuador,1610,36,1571,+,,,,
177,Independiente,Argentina,1558,20,1566,-,,,,
1163,Independiente de La Chorrera,Panama,1328,80,1336,-,,,,
694,Independiente FBC (Campo Grande),Paraguay,1393,14,1393,-,,,,
2121,Independiente FC,El Salvador,1250,46,1250,-,,,,
326,Independiente MedellÃ­n,Colombia,1487,54,1465,+,,,,
1182,Independiente Petrolero,Bolivia,1327,137,1312,+,,,,
1590,Indios,Mexico,1289,20,1289,-,,,,
222,Ingolstadt,Germany,1532,0,1532,-,,,,
2727,Institute FC,Northern Ireland,1174,6,1174,-,,,,
1997,Inter Allies FC,Ghana,1257,246,1274,-,,,,
1479,Inter Miami CF,United States,1298,98,1305,-,,,,
5,Inter Milan,Italy,1917,2,1944,-,,,,
2251,Interblock,Slovenia,1242,39,1242,-,,,,
